Date,User,Tweet,Time,Cleaned_Tweet,Tokens
2022:08:25,puneet_banga,"Delhi: Arvind Kejriwal to meet AAP MLAs today, alleges BJP plans to dislodge govt.",04:09:55,"delhi: arvind kejriwal to meet aap mlas today, alleges bjp plans to dislodge govt.","['Delhi:', 'Arvind', 'Kejriwal', 'to', 'meet', 'AAP', 'MLAs', 'today,', 'alleges', 'BJP', 'plans', 'to', 'dislodge', 'govt.']"
2022:10:13,Starboy1848,"A warm welcome to our favourite prime minister Narendra Modi ji.
#HimachalWithDoubleEngine https://t.co/fLhY5mzEoM",04:15:55,a warm welcome to our favourite prime minister narendra modi ji. #himachalwithdoubleengine ,"['A', 'warm', 'welcome', 'to', 'our', 'favourite', 'prime', 'minister', 'Narendra', 'Modi', 'ji.', '#HimachalWithDoubleEngine', 'https://t.co/fLhY5mzEoM']"
2022:09:19,KreatelyMedia,"2/2

जय महाकाल 🙏

Breathtaking view of the first phase of Mahakaleshwar Mandir corridor in Ujjain that will be inaugurated by PM Narendra Modi ji on October 11 2022 #Ujjain #Mahakaleshwar #Mandir https://t.co/eIIQs85gYq",17:05:57,2/2 जय महाकाल 🙏 breathtaking view of the first phase of mahakaleshwar mandir corridor in ujjain that will be inaugurated by pm narendra modi ji on october 11 2022 #ujjain #mahakaleshwar #mandir ,"['2/2', 'जय', 'महाकाल', '🙏', 'Breathtaking', 'view', 'of', 'the', 'first', 'phase', 'of', 'Mahakaleshwar', 'Mandir', 'corridor', 'in', 'Ujjain', 'that', 'will', 'be', 'inaugurated', 'by', 'PM', 'Narendra', 'Modi', 'ji', 'on', 'October', '11', '2022', '#Ujjain', '#Mahakaleshwar', '#Mandir', 'https://t.co/eIIQs85gYq']"
2022:10:10,aajtakgudanal1,"Gujaratis blessed me for 2 decades, caste didn’t matter: PM Narendra Modi | India News – Times of India https://t.co/1Du7w8IEHs",03:31:51,"gujaratis blessed me for 2 decades, caste didn’t matter: pm narendra modi | india news – times of india ","['Gujaratis', 'blessed', 'me', 'for', '2', 'decades,', 'caste', 'didn’t', 'matter:', 'PM', 'Narendra', 'Modi', '|', 'India', 'News', '–', 'Times', 'of', 'India', 'https://t.co/1Du7w8IEHs']"
2022:10:02,banglanews_eng,"Indian President Murmu, PM Modi pay tributes to Mahatma Gandhi on 153rd birthday Indian President Droupadi Murmu, Prime Minister Narendra Modi and top opposition leader Sonia Gandhi today (October 2, 2022) paid tributes to Father of the Nation Mahatma Ga… https://t.co/KOVNHV2WE7",07:36:57,"indian president murmu, pm modi pay tributes to mahatma gandhi on 153rd birthday indian president droupadi murmu, prime minister narendra modi and top opposition leader sonia gandhi today (october 2, 2022) paid tributes to father of the nation mahatma ga… ","['Indian', 'President', 'Murmu,', 'PM', 'Modi', 'pay', 'tributes', 'to', 'Mahatma', 'Gandhi', 'on', '153rd', 'birthday', 'Indian', 'President', 'Droupadi', 'Murmu,', 'Prime', 'Minister', 'Narendra', 'Modi', 'and', 'top', 'opposition', 'leader', 'Sonia', 'Gandhi', 'today', '(October', '2,', '2022)', 'paid', 'tributes', 'to', 'Father', 'of', 'the', 'Nation', 'Mahatma', 'Ga…', 'https://t.co/KOVNHV2WE7']"
2022:09:30,Siddhaartth,"Kannada writer &amp; intellectual, Akademi awardee Devanuru Mahadeva presented preamble of the constitution to Rahul Gandhi in Gundulpet
#BharatJodoYatra https://t.co/WqjSFqAFef",15:37:00,"kannada writer &amp; intellectual, akademi awardee devanuru mahadeva presented preamble of the constitution to rahul gandhi in gundulpet #bharatjodoyatra ","['Kannada', 'writer', '&amp;', 'intellectual,', 'Akademi', 'awardee', 'Devanuru', 'Mahadeva', 'presented', 'preamble', 'of', 'the', 'constitution', 'to', 'Rahul', 'Gandhi', 'in', 'Gundulpet', '#BharatJodoYatra', 'https://t.co/WqjSFqAFef']"
2022:10:06,PradeepkumarPM,"@mmvp2005 @RahulGandhi Indeed, thousands of crores hv been spent by BJP to tarnish the image of Rahul Gandhi past 10 years. Side by side BJP ensured that Congress PC or protests are not covered by mainstream Media(went to the extent of buying them through back door. Misused of ED, IT etc to intimidate",11:50:56," indeed, thousands of crores hv been spent by bjp to tarnish the image of rahul gandhi past 10 years. side by side bjp ensured that congress pc or protests are not covered by mainstream media(went to the extent of buying them through back door. misused of ed, it etc to intimidate","['@mmvp2005', '@RahulGandhi', 'Indeed,', 'thousands', 'of', 'crores', 'hv', 'been', 'spent', 'by', 'BJP', 'to', 'tarnish', 'the', 'image', 'of', 'Rahul', 'Gandhi', 'past', '10', 'years.', 'Side', 'by', 'side', 'BJP', 'ensured', 'that', 'Congress', 'PC', 'or', 'protests', 'are', 'not', 'covered', 'by', 'mainstream', 'Media(went', 'to', 'the', 'extent', 'of', 'buying', 'them', 'through', 'back', 'door.', 'Misused', 'of', 'ED,', 'IT', 'etc', 'to', 'intimidate']"
2022:10:03,tracerbullet_,"arvind kejriwal reminds me of my ex, the way he twists &amp; turns his words, such a hypocrite he is ♨️ https://t.co/1RydMnJ75Z",09:05:04,"arvind kejriwal reminds me of my ex, the way he twists &amp; turns his words, such hypocrite he is ♨️ ","['arvind', 'kejriwal', 'reminds', 'me', 'of', 'my', 'ex,', 'the', 'way', 'he', 'twists', '&amp;', 'turns', 'his', 'words,', 'such', 'a', 'hypocrite', 'he', 'is', '♨️', 'https://t.co/1RydMnJ75Z']"
2022:07:31,inbi_news,"Arvind Kejriwal ‘scared’ of CBI probe: BJP as Delhi government rolls back new excise policy.

https://t.co/r7n6uVeaLE",02:54:10,arvind kejriwal ‘scared’ of cbi probe: bjp as delhi government rolls back new excise policy. ,"['Arvind', 'Kejriwal', '‘scared’', 'of', 'CBI', 'probe:', 'BJP', 'as', 'Delhi', 'government', 'rolls', 'back', 'new', 'excise', 'policy.', 'https://t.co/r7n6uVeaLE']"
2022:10:04,OdishaDiary,PM Narendra Modi pays tributes to Shyamji Krishna Varma on his Jayanti https://t.co/4KbFpHuDQX,11:43:54,pm narendra modi pays tributes to shyamji krishna varma on his jayanti ,"['PM', 'Narendra', 'Modi', 'pays', 'tributes', 'to', 'Shyamji', 'Krishna', 'Varma', 'on', 'his', 'Jayanti', 'https://t.co/4KbFpHuDQX']"
2022:10:07,SatishKapur4,@_pallavighosh The difference is those who post pics of Modi who runs the govt does it for largesse or on compulsion &amp; those posting Rahul Gandhi's pics does it without being forced &amp; without expecting any giveways  &amp; nothing is wrong in it while in the other one whole thing is wrong.,08:14:52, the difference is those who post pics of modi who runs the govt does it for largesse or on compulsion &amp; those posting rahul gandhi's pics does it without being forced &amp; without expecting any giveways &amp; nothing is wrong in it while in the other one whole thing is wrong.,"['@_pallavighosh', 'The', 'difference', 'is', 'those', 'who', 'post', 'pics', 'of', 'Modi', 'who', 'runs', 'the', 'govt', 'does', 'it', 'for', 'largesse', 'or', 'on', 'compulsion', '&amp;', 'those', 'posting', 'Rahul', ""Gandhi's"", 'pics', 'does', 'it', 'without', 'being', 'forced', '&amp;', 'without', 'expecting', 'any', 'giveways', '&amp;', 'nothing', 'is', 'wrong', 'in', 'it', 'while', 'in', 'the', 'other', 'one', 'whole', 'thing', 'is', 'wrong.']"
2022:08:24,annimpex,@AamAadmiParty @SanjayAzadSln Yehi waqt jai bjp par zabardast chabaddi gaanthne ka pooradesh is samay #AAP k favour me aa chuka hai aur modi/bjp ki pol khul chuki hai..ABP bhi apna servay dikha chuka hai ki 2022 me ₹Arvind kejriwal /#AAP desh me apne kaam se kitne popular ho chuka hain. ✌️👌👏,07:06:17, yehi waqt jai bjp par zabardast chabaddi gaanthne ka pooradesh is samay #aap favour me aa chuka hai aur modi/bjp ki pol khul chuki hai..abp bhi apna servay dikha chuka hai ki 2022 me ₹arvind kejriwal /#aap desh me apne kaam se kitne popular ho chuka hain. ✌️👌👏,"['@AamAadmiParty', '@SanjayAzadSln', 'Yehi', 'waqt', 'jai', 'bjp', 'par', 'zabardast', 'chabaddi', 'gaanthne', 'ka', 'pooradesh', 'is', 'samay', '#AAP', 'k', 'favour', 'me', 'aa', 'chuka', 'hai', 'aur', 'modi/bjp', 'ki', 'pol', 'khul', 'chuki', 'hai..ABP', 'bhi', 'apna', 'servay', 'dikha', 'chuka', 'hai', 'ki', '2022', 'me', '₹Arvind', 'kejriwal', '/#AAP', 'desh', 'me', 'apne', 'kaam', 'se', 'kitne', 'popular', 'ho', 'chuka', 'hain.', '✌️👌👏']"
2022:10:04,watchful_sniper,Rahul Gandhi in congress is like an elephant in a sugarcane field …. https://t.co/NPmNY1aYS0,05:12:08,rahul gandhi in congress is like an elephant in sugarcane field …. ,"['Rahul', 'Gandhi', 'in', 'congress', 'is', 'like', 'an', 'elephant', 'in', 'a', 'sugarcane', 'field', '….', 'https://t.co/NPmNY1aYS0']"
2022:09:16,sandeepkumarm61,"Chinese Prime Minister Xi Jinping congratulates #India and PM Narendra Modi, wishes luck for 'being the host' next year",08:29:27,"chinese prime minister xi jinping congratulates #india and pm narendra modi, wishes luck for 'being the host' next year","['Chinese', 'Prime', 'Minister', 'Xi', 'Jinping', 'congratulates', '#India', 'and', 'PM', 'Narendra', 'Modi,', 'wishes', 'luck', 'for', ""'being"", 'the', ""host'"", 'next', 'year']"
2022:07:16,wwwcurrentnews1,Arvind Kejriwal’s AAP To Back Yashwant Sinha For President. Here’s Why https://t.co/MTcebXIDQt,11:33:53,arvind kejriwal’s aap to back yashwant sinha for president. here’s why ,"['Arvind', 'Kejriwal’s', 'AAP', 'To', 'Back', 'Yashwant', 'Sinha', 'For', 'President.', 'Here’s', 'Why', 'https://t.co/MTcebXIDQt']"
2022:08:03,sharadgoswamis,"@Debjani48444388 @safroonlite It's backdoor entry 4 Akhilesh, Rahul &amp; many others . Mamta, Modi, shah, Mayawati, Arvind Kejriwal are not backdoor entry. Entitled do nothing in life, enter politics in kins name, sit on party post without working 4 it, get ticket from safe seat. That's backdoor entry.",08:21:21," it's backdoor entry 4 akhilesh, rahul &amp; many others . mamta, modi, shah, mayawati, arvind kejriwal are not backdoor entry. entitled do nothing in life, enter politics in kins name, sit on party post without working 4 it, get ticket from safe seat. that's backdoor entry.","['@Debjani48444388', '@safroonlite', ""It's"", 'backdoor', 'entry', '4', 'Akhilesh,', 'Rahul', '&amp;', 'many', 'others', '.', 'Mamta,', 'Modi,', 'shah,', 'Mayawati,', 'Arvind', 'Kejriwal', 'are', 'not', 'backdoor', 'entry.', 'Entitled', 'do', 'nothing', 'in', 'life,', 'enter', 'politics', 'in', 'kins', 'name,', 'sit', 'on', 'party', 'post', 'without', 'working', '4', 'it,', 'get', 'ticket', 'from', 'safe', 'seat.', ""That's"", 'backdoor', 'entry.']"
2022:10:18,SomaniSampat,"@SupriyaShrinate Bcz put is not voting congress
See Punjab .. BJP ko bhulo
U were thrown out by kejariwal...
By ordinary team 
Rahul Gandhi aur Randeep Singh sujarewala..tum bhi kuch nahi kar payi
Arre kartoon to tum bani
Bekar tweet kar kar ke
Ab yatra ke baad compare kejariwal and Rahul Gandhi",11:09:53, bcz put is not voting congress see punjab .. bjp ko bhulo were thrown out by kejariwal... by ordinary team rahul gandhi aur randeep singh sujarewala..tum bhi kuch nahi kar payi arre kartoon to tum bani bekar tweet kar kar ke ab yatra ke baad compare kejariwal and rahul gandhi,"['@SupriyaShrinate', 'Bcz', 'put', 'is', 'not', 'voting', 'congress', 'See', 'Punjab', '..', 'BJP', 'ko', 'bhulo', 'U', 'were', 'thrown', 'out', 'by', 'kejariwal...', 'By', 'ordinary', 'team', 'Rahul', 'Gandhi', 'aur', 'Randeep', 'Singh', 'sujarewala..tum', 'bhi', 'kuch', 'nahi', 'kar', 'payi', 'Arre', 'kartoon', 'to', 'tum', 'bani', 'Bekar', 'tweet', 'kar', 'kar', 'ke', 'Ab', 'yatra', 'ke', 'baad', 'compare', 'kejariwal', 'and', 'Rahul', 'Gandhi']"
2022:09:22,bulletin_ex,Narendra Modi government commits to tribal welfare https://t.co/LDvRMDCwyr,23:39:31,narendra modi government commits to tribal welfare ,"['Narendra', 'Modi', 'government', 'commits', 'to', 'tribal', 'welfare', 'https://t.co/LDvRMDCwyr']"
2022:09:17,Gjallarhornet,"Indian leader Narendra Modi tells #Putin: Now is not the time for war 

#StandWithUkraine #RussiaAggression #RussianCrimes #Dictatorship #Surveillance #Censorship #RussianWarCrimes #FreeNavalny #PutinsWar #Russia 

https://t.co/bOfN5YOEul",18:11:38,indian leader narendra modi tells #putin: now is not the time for war #standwithukraine #russiaaggression #russiancrimes #dictatorship #surveillance #censorship #russianwarcrimes #freenavalny #putinswar #russia ,"['Indian', 'leader', 'Narendra', 'Modi', 'tells', '#Putin:', 'Now', 'is', 'not', 'the', 'time', 'for', 'war', '#StandWithUkraine', '#RussiaAggression', '#RussianCrimes', '#Dictatorship', '#Surveillance', '#Censorship', '#RussianWarCrimes', '#FreeNavalny', '#PutinsWar', '#Russia', 'https://t.co/bOfN5YOEul']"
2022:10:02,NamasteCosmos,"@changu311 @changu311 Madam,Why hindu politicians in USA or UK like Rishi Sunak don't speak a word  for hindus (against media outlets on disinformation/propaganda or against Radicals) ?Do they visit temple only for vote just like Rahul Gandhi? Or there is a good/logical reason to not speak?",15:33:15," madam,why hindu politicians in usa or uk like rishi sunak don't speak word for hindus (against media outlets on disinformation/propaganda or against radicals) ?do they visit temple only for vote just like rahul gandhi? or there is good/logical reason to not speak?","['@changu311', '@changu311', 'Madam,Why', 'hindu', 'politicians', 'in', 'USA', 'or', 'UK', 'like', 'Rishi', 'Sunak', ""don't"", 'speak', 'a', 'word', 'for', 'hindus', '(against', 'media', 'outlets', 'on', 'disinformation/propaganda', 'or', 'against', 'Radicals)', '?Do', 'they', 'visit', 'temple', 'only', 'for', 'vote', 'just', 'like', 'Rahul', 'Gandhi?', 'Or', 'there', 'is', 'a', 'good/logical', 'reason', 'to', 'not', 'speak?']"
2022:09:29,kumar56p,"including then Chief Minister Narendra Modi in the 2002 Gujarat riots cases. Sreekumar was arrested after a three-judge bench of the Supreme Court made adverse remarks against him on June 24 while dismissing a plea by Zakia Jafri, wife of former Congress MP Ehsan Jafri, who was",13:47:15,"including then chief minister narendra modi in the 2002 gujarat riots cases. sreekumar was arrested after three-judge bench of the supreme court made adverse remarks against him on june 24 while dismissing plea by zakia jafri, wife of former congress mp ehsan jafri, who was","['including', 'then', 'Chief', 'Minister', 'Narendra', 'Modi', 'in', 'the', '2002', 'Gujarat', 'riots', 'cases.', 'Sreekumar', 'was', 'arrested', 'after', 'a', 'three-judge', 'bench', 'of', 'the', 'Supreme', 'Court', 'made', 'adverse', 'remarks', 'against', 'him', 'on', 'June', '24', 'while', 'dismissing', 'a', 'plea', 'by', 'Zakia', 'Jafri,', 'wife', 'of', 'former', 'Congress', 'MP', 'Ehsan', 'Jafri,', 'who', 'was']"
2022:07:21,Kashmeranews,"#Jammukashmir Arvind Kejriwal promises 300 units of free electricity if AAP voted to power in Gujarat

Full Video:… https://t.co/xYSFCkKwVd",13:17:58,#jammukashmir arvind kejriwal promises 300 units of free electricity if aap voted to power in gujarat full video:… ,"['#Jammukashmir', 'Arvind', 'Kejriwal', 'promises', '300', 'units', 'of', 'free', 'electricity', 'if', 'AAP', 'voted', 'to', 'power', 'in', 'Gujarat', 'Full', 'Video:…', 'https://t.co/xYSFCkKwVd']"
2022:09:27,sgdutt41,@Jairam_Ramesh @RahulGandhi * Are the Congress MLAs in Rajasthan aware of the issues of price rise &amp; unemployment ? These are the main issues about which common people are trying to talk to Sh Rahul Gandhi. . .,07:35:03, * are the congress mlas in rajasthan aware of the issues of price rise &amp; unemployment ? these are the main issues about which common people are trying to talk to sh rahul gandhi. . .,"['@Jairam_Ramesh', '@RahulGandhi', '*', 'Are', 'the', 'Congress', 'MLAs', 'in', 'Rajasthan', 'aware', 'of', 'the', 'issues', 'of', 'price', 'rise', '&amp;', 'unemployment', '?', 'These', 'are', 'the', 'main', 'issues', 'about', 'which', 'common', 'people', 'are', 'trying', 'to', 'talk', 'to', 'Sh', 'Rahul', 'Gandhi.', '.', '.']"
2022:07:09,AdityaGoswami_,"Delhi’s CM Arvind Kejriwal and DJB’s Chairman &amp; Delhi’s Deputy CM Manish Sisodia need to answer this.

-Corruption worth around Rs 38 crores
-Rs 1.5 crores Cash seized from the premises of DJB’s Chief Engineer https://t.co/0WX3hwwIoW",13:34:45,delhi’s cm arvind kejriwal and djb’s chairman &amp; delhi’s deputy cm manish sisodia need to answer this. -corruption worth around rs 38 crores -rs 1.5 crores cash seized from the premises of djb’s chief engineer ,"['Delhi’s', 'CM', 'Arvind', 'Kejriwal', 'and', 'DJB’s', 'Chairman', '&amp;', 'Delhi’s', 'Deputy', 'CM', 'Manish', 'Sisodia', 'need', 'to', 'answer', 'this.', '-Corruption', 'worth', 'around', 'Rs', '38', 'crores', '-Rs', '1.5', 'crores', 'Cash', 'seized', 'from', 'the', 'premises', 'of', 'DJB’s', 'Chief', 'Engineer', 'https://t.co/0WX3hwwIoW']"
2022:09:30,MirrorNow,"Prime Minister Narendra Modi tweeted out pics aboard the #vandebharatexpress. The train made its maiden journey from #Gandhinagar to #Ahmedabad. He was seen interacting with co-passengers along the way.

#PMModiInGujarat https://t.co/m7JDCjVJMY",07:10:00,prime minister narendra modi tweeted out pics aboard the #vandebharatexpress. the train made its maiden journey from #gandhinagar to #ahmedabad. he was seen interacting with co-passengers along the way. #pmmodiingujarat ,"['Prime', 'Minister', 'Narendra', 'Modi', 'tweeted', 'out', 'pics', 'aboard', 'the', '#vandebharatexpress.', 'The', 'train', 'made', 'its', 'maiden', 'journey', 'from', '#Gandhinagar', 'to', '#Ahmedabad.', 'He', 'was', 'seen', 'interacting', 'with', 'co-passengers', 'along', 'the', 'way.', '#PMModiInGujarat', 'https://t.co/m7JDCjVJMY']"
2022:10:16,thehindupatrika,"BJP throws 'Khatam, Tata, Bye-bye' barb at Rahul Gandhi in parody video; Congress hits back with 'Chavanni Chaap' jibe https://t.co/lLBgxMEpKl : @TheNileshDesai #TheHinduPatrika #News",12:55:37,"bjp throws 'khatam, tata, bye-bye' barb at rahul gandhi in parody video; congress hits back with 'chavanni chaap' jibe : #thehindupatrika #news","['BJP', 'throws', ""'Khatam,"", 'Tata,', ""Bye-bye'"", 'barb', 'at', 'Rahul', 'Gandhi', 'in', 'parody', 'video;', 'Congress', 'hits', 'back', 'with', ""'Chavanni"", ""Chaap'"", 'jibe', 'https://t.co/lLBgxMEpKl', ':', '@TheNileshDesai', '#TheHinduPatrika', '#News']"
2022:10:10,peaceXsays,If you really want to do anything good then go and check out this news. Our Honorable prime minister Narendra Modi ji has started the Development project in Jamnagar. #VishwasSeVikas,06:40:38,if you really want to do anything good then go and check out this news. our honorable prime minister narendra modi ji has started the development project in jamnagar. #vishwassevikas,"['If', 'you', 'really', 'want', 'to', 'do', 'anything', 'good', 'then', 'go', 'and', 'check', 'out', 'this', 'news.', 'Our', 'Honorable', 'prime', 'minister', 'Narendra', 'Modi', 'ji', 'has', 'started', 'the', 'Development', 'project', 'in', 'Jamnagar.', '#VishwasSeVikas']"
2022:09:27,TheMeghalayan,"BY THE EDITOR | Dissatisfied with right-wing policy of Narendra Modi government at the Centre and terming it as ‘fascist regime’ certain groups become restless and try to foment troubles across the country.
https://t.co/O1JznfjXhN",04:14:09,by the editor | dissatisfied with right-wing policy of narendra modi government at the centre and terming it as ‘fascist regime’ certain groups become restless and try to foment troubles across the country. ,"['BY', 'THE', 'EDITOR', '|', 'Dissatisfied', 'with', 'right-wing', 'policy', 'of', 'Narendra', 'Modi', 'government', 'at', 'the', 'Centre', 'and', 'terming', 'it', 'as', '‘fascist', 'regime’', 'certain', 'groups', 'become', 'restless', 'and', 'try', 'to', 'foment', 'troubles', 'across', 'the', 'country.', 'https://t.co/O1JznfjXhN']"
2022:10:13,TattvaNews,"Productivity Linked Bonus equivalent to 78 days to be paid for railway employees Productivity Linked Bonus equivalent to 78 days to be paid for railway employees The Union Cabinet chaired by the Prime Minister, Narendra Modi, has given its... https://t.co/OIQYT7BE4p",04:15:50,"productivity linked bonus equivalent to 78 days to be paid for railway employees productivity linked bonus equivalent to 78 days to be paid for railway employees the union cabinet chaired by the prime minister, narendra modi, has given its... ","['Productivity', 'Linked', 'Bonus', 'equivalent', 'to', '78', 'days', 'to', 'be', 'paid', 'for', 'railway', 'employees', 'Productivity', 'Linked', 'Bonus', 'equivalent', 'to', '78', 'days', 'to', 'be', 'paid', 'for', 'railway', 'employees', 'The', 'Union', 'Cabinet', 'chaired', 'by', 'the', 'Prime', 'Minister,', 'Narendra', 'Modi,', 'has', 'given', 'its...', 'https://t.co/OIQYT7BE4p']"
2022:08:30,MIMNEWS3,"BJP using Anna Hazare to target me, says Arvind Kejriwal https://t.co/ET2ekX4F3H",15:16:58,"bjp using anna hazare to target me, says arvind kejriwal ","['BJP', 'using', 'Anna', 'Hazare', 'to', 'target', 'me,', 'says', 'Arvind', 'Kejriwal', 'https://t.co/ET2ekX4F3H']"
2022:09:17,AnilKohar11,"Wishing a very Happy Birthday to Honorable PM of India
Shri Narendra Modi Ji... https://t.co/U1TJHfChzO",15:00:47,wishing very happy birthday to honorable pm of india shri narendra modi ji... ,"['Wishing', 'a', 'very', 'Happy', 'Birthday', 'to', 'Honorable', 'PM', 'of', 'India', 'Shri', 'Narendra', 'Modi', 'Ji...', 'https://t.co/U1TJHfChzO']"
2022:08:21,TimesNow,"#Breaking

#LiquorPeLadai | "" 'Pairo ke neeche aapke zameen nahi h, gazab ye h ki aapko yakeen nahi h.' If anyone is 'Kattar beimaan' then that is Arvind Kejriwal, Satyendra Jain and Manish Sisodia,"" BJP briefs media https://t.co/OicSXRCSXP",07:42:26,"#breaking #liquorpeladai | "" 'pairo ke neeche aapke zameen nahi h, gazab ye ki aapko yakeen nahi h.' if anyone is 'kattar beimaan' then that is arvind kejriwal, satyendra jain and manish sisodia,"" bjp briefs media ","['#Breaking', '#LiquorPeLadai', '|', '""', ""'Pairo"", 'ke', 'neeche', 'aapke', 'zameen', 'nahi', 'h,', 'gazab', 'ye', 'h', 'ki', 'aapko', 'yakeen', 'nahi', ""h.'"", 'If', 'anyone', 'is', ""'Kattar"", ""beimaan'"", 'then', 'that', 'is', 'Arvind', 'Kejriwal,', 'Satyendra', 'Jain', 'and', 'Manish', 'Sisodia,""', 'BJP', 'briefs', 'media', 'https://t.co/OicSXRCSXP']"
2022:10:19,mnjworldcom123,Participants of the Special ASEAN-India Foreign Ministers’ Meeting called on Prime Minister Shri Narendra Modi today https://t.co/YBRoOsRCrE,15:55:49,participants of the special asean-india foreign ministers’ meeting called on prime minister shri narendra modi today ,"['Participants', 'of', 'the', 'Special', 'ASEAN-India', 'Foreign', 'Ministers’', 'Meeting', 'called', 'on', 'Prime', 'Minister', 'Shri', 'Narendra', 'Modi', 'today', 'https://t.co/YBRoOsRCrE']"
2022:09:30,helpers52,"During the today's gujarat visit, Prime Minister Narendra Modi will visit the Ambaji Shaktipeeth Temple  and participate in many programs...
#मोदीजी_की_मातृभक्ति",13:55:45,"during the today's gujarat visit, prime minister narendra modi will visit the ambaji shaktipeeth temple and participate in many programs... #मोदीजी_की_मातृभक्ति","['During', 'the', ""today's"", 'gujarat', 'visit,', 'Prime', 'Minister', 'Narendra', 'Modi', 'will', 'visit', 'the', 'Ambaji', 'Shaktipeeth', 'Temple', 'and', 'participate', 'in', 'many', 'programs...', '#मोदीजी_की_मातृभक्ति']"
2022:08:22,RESUNIVERSAL,@ANI Will Delhi CM Arvind Kejriwal retain his position after the 2023 elections?,11:28:53, will delhi cm arvind kejriwal retain his position after the 2023 elections?,"['@ANI', 'Will', 'Delhi', 'CM', 'Arvind', 'Kejriwal', 'retain', 'his', 'position', 'after', 'the', '2023', 'elections?']"
2022:09:30,_ram_nagesh_,"The entire nation is interested in rahul gandhi bharat jodo yatra. This is one of an example

#KarnatakaWelcomesRahul https://t.co/k6qUmvEZ0I",15:21:36,the entire nation is interested in rahul gandhi bharat jodo yatra. this is one of an example #karnatakawelcomesrahul ,"['The', 'entire', 'nation', 'is', 'interested', 'in', 'rahul', 'gandhi', 'bharat', 'jodo', 'yatra.', 'This', 'is', 'one', 'of', 'an', 'example', '#KarnatakaWelcomesRahul', 'https://t.co/k6qUmvEZ0I']"
2022:09:17,SaliyanAdarsh,"Warm birthday greetings to Hon'ble Prime Minister Shri Narendra Modi  ji. God bless you with long life and good health.
#HappyBdayModiji https://t.co/NwiGgmeCyP",01:48:43,warm birthday greetings to hon'ble prime minister shri narendra modi ji. god bless you with long life and good health. #happybdaymodiji ,"['Warm', 'birthday', 'greetings', 'to', ""Hon'ble"", 'Prime', 'Minister', 'Shri', 'Narendra', 'Modi', 'ji.', 'God', 'bless', 'you', 'with', 'long', 'life', 'and', 'good', 'health.', '#HappyBdayModiji', 'https://t.co/NwiGgmeCyP']"
2022:07:27,PandaJay,"This is a severe indictment of Arvind Kejriwal and his government.
Ideally, after the remarks by Hon' HC, he should immediately expel the 'minister with criminal background'. https://t.co/1sGHXXQhz4",12:29:10,"this is severe indictment of arvind kejriwal and his government. ideally, after the remarks by hon' hc, he should immediately expel the 'minister with criminal background'. ","['This', 'is', 'a', 'severe', 'indictment', 'of', 'Arvind', 'Kejriwal', 'and', 'his', 'government.', 'Ideally,', 'after', 'the', 'remarks', 'by', ""Hon'"", 'HC,', 'he', 'should', 'immediately', 'expel', 'the', ""'minister"", 'with', 'criminal', ""background'."", 'https://t.co/1sGHXXQhz4']"
2022:09:17,Manucha61311734,Happy birthday to you Narendra Modi Pm of India https://t.co/wZzygZvVDH,13:00:19,happy birthday to you narendra modi pm of india ,"['Happy', 'birthday', 'to', 'you', 'Narendra', 'Modi', 'Pm', 'of', 'India', 'https://t.co/wZzygZvVDH']"
2022:09:28,maddisrinivas16,"@Pradeep73267244 Yes, i agree with you, Pradeep ji, about Rahul Gandhi.But at the same time, Priyanka Gandhi is not to be forgotten &amp; is to be cared for.RAHUL FOR AICC PRESIDENT&amp; PRIYANKA FOR PM OF https://t.co/f3tZssZNbC DOUBT.",13:41:57," yes, agree with you, pradeep ji, about rahul gandhi.but at the same time, priyanka gandhi is not to be forgotten &amp; is to be cared for.rahul for aicc president&amp; priyanka for pm of doubt.","['@Pradeep73267244', 'Yes,', 'i', 'agree', 'with', 'you,', 'Pradeep', 'ji,', 'about', 'Rahul', 'Gandhi.But', 'at', 'the', 'same', 'time,', 'Priyanka', 'Gandhi', 'is', 'not', 'to', 'be', 'forgotten', '&amp;', 'is', 'to', 'be', 'cared', 'for.RAHUL', 'FOR', 'AICC', 'PRESIDENT&amp;', 'PRIYANKA', 'FOR', 'PM', 'OF', 'https://t.co/f3tZssZNbC', 'DOUBT.']"
2022:10:13,state_sentinel,"In a big accolade for the Narendra Modi government's Direct Benefit Transfer scheme, the International Monetary Fund (IMF) has termed it a 'logistical marvel' considering the sheer size of the country. https://t.co/lCcsuvWy3j",11:30:00,"in big accolade for the narendra modi government's direct benefit transfer scheme, the international monetary fund (imf) has termed it 'logistical marvel' considering the sheer size of the country. ","['In', 'a', 'big', 'accolade', 'for', 'the', 'Narendra', 'Modi', ""government's"", 'Direct', 'Benefit', 'Transfer', 'scheme,', 'the', 'International', 'Monetary', 'Fund', '(IMF)', 'has', 'termed', 'it', 'a', ""'logistical"", ""marvel'"", 'considering', 'the', 'sheer', 'size', 'of', 'the', 'country.', 'https://t.co/lCcsuvWy3j']"
